,,,,,,,,,Brand Code,Brand Name,Pack Size,Price Wise,Proposition,
,,,,,,,,,408,Mysore Sandal+3 ballpens,150 G,1,5,
,,,,,,,,,409,Chandrika+Soap Case on 2,75 G,2,7,
,,,,,,,,,410,Rexona Sandal+40G Rin,75 G,2,5,
,,,,,,,,,411,Lifebuoy +75ps Off,150 G,3,14,
,,,,,,,,,412,Palmolive Nat.+Rs 2 Off,125 G,1,5,
,,,,,,,,,413,Wipro Shikakai+Hair Care,100 G,1,9,
,,,,,,,,,414,Hamam Herbal+1 Mug On 12,75 G,2,7,
,,,,,,,,,415,Pond's Face Wash,100 M,1,5,
,,,,,,,,,416,Doy White(Duck),75 G,1,12,
,,,,,,,,,417,Camay International Chic,125 G,1,5,
,,,,,,,,,418,Ganga,125 G,2,5,
,,,,,,,,,419,Imperial Leather White(P,75 G,1,15,
,,,,,,,,,420,Godrej Shikakai (P),100 G,1,9,
,,,,,,,,,421,Jai Lime + 1 Mug On 12,75 G,4,8,
,,,,,,,,,422,Mysore Sandal+Pen on 2,75 G,1,5,
,,,,,,,,,423,Mysore Sandal+Pencil,125 G,1,5,
,,,,,,,,,424,Cinthol Lime Fresh+ 25 G,75 G,2,8,
,,,,,,,,,425,Cinthol Scent Fresh+25 G,75 G,2,8,
,,,,,,,,,426,Lifebuoy Plus+Rin Shakti,100 G,2,6,
,,,,,,,,,427,Johnson's Kids Apple,75 G,1,12,
,,,,,,,,,428,Johnson's KidsStrawberry,75 G,1,12,
,,,,,,,,,429,Johnson's Kids Mango,75 G,1,12,
,,,,,,,,,430,Rexona Sandal,125 G,2,5,
,,,,,,,,,431,Nivea Soap,100 G,1,5,
,,,,,,,,,432,Breeze Rose,150 G,4,5,
,,,,,,,,,433,Pears Face Wash,100 G,1,5,
,,,,,,,,,434,Fem Liquid Soap,,1,15,
,,,,,,,,,435,Breeze Herbal Beauty,100 G,4,5,
,,,,,,,,,436,Rexona Coconut,150 G,2,5,
,,,,,,,,,437,Cinthol Int. Cologne-D,75 G,1,8,
,,,,,,,,,438,Cinthol Int. Lime-D,75 G,1,8,
,,,,,,,,,439,Johnson's Baby,50 G,1,12,
,,,,,,,,,440,Johnson's Baby,150 G,1,12,
,,,,,,,,,441,Doy Mauve(Lion),75 G,1,12,
,,,,,,,,,442,Lux Beauty+20 G Surf Ex,150 G,2,5,
,,,,,,,,,443,Mysore Sandal+Mysore W.S,150 G,1,5,
,,,,,,,,,444,Imperial Leather (P),150 G,1,15,
,,,,,,,,,445,Cinthol Int. Spice-D,75 G,1,8,
,,,,,,,,,446,Dettol Fresh,75 G,1,6,
,,,,,,,,,447,Dettol Fragrance,75 G,1,6,
,,,,,,,,,448,Santoor(Sandal&Besan),150 G,2,5,
,,,,,,,,,449,Moti Gulab+Rs.10 off,150 G,1,5,
,,,,,,,,,450,Moti Sandal,150 G,1,5,
,,,,,,,,,451,Moti Sandal+Rs.10 off,150 G,1,5,
,,,,,,,,,452,Glory,80 G,1,15,
,,,,,,,,,453,Keya,100 G,1,5,
,,,,,,,,,454,Lux Beauty,15 G,2,5,
,,,,,,,,,455,Palmolive Naturals Green,125 G,1,5,
,,,,,,,,,456,Palmolive Naturals Yello,125 G,1,5,
,,,,,,,,,457,Rexona (N/S),125 G,2,5,
,,,,,,,,,458,Santoor(Tur&Sandal),50 G,2,5,
,,,,,,,,,459,Jai Lime,125 G,4,8,
,,,,,,,,,460,Mysore Sandal Gold With,125 G,1,5,
,,,,,,,,,461,Nima Lime,75 G,1,8,
,,,,,,,,,462,Imperial Leather,125 G,1,15,
,,,,,,,,,463,Boroplus,100 G,1,15,
,,,,,,,,,464,Nima Rose,100 G,1,5,
,,,,,,,,,465,Royal Saffron Sandal,100 G,1,15,
,,,,,,,,,466,Mysore Sandal,17 G,1,5,
,,,,,,,,,467,Unbranded Liquid Soap,,2,15,
,,,,,,,,,468,Mysore Sandal Baby(white,) 75 G,1,5,
,,,,,,,,,469,Other Face Wash,,2,5,
,,,,,,,,,470,Other Liquid Soap,,2,15,
,,,,,,,,,471,Pears Face Wash,20 G,1,5,
,,,,,,,,,472,Savlon,75 G,1,6,
,,,,,,,,,473,Johnson's Kids Star,75 G,1,12,
,,,,,,,,,474,Arnica Hair Soap,75 G,1,9,
,,,,,,,,,475,Aromatic,100 G,2,15,
,,,,,,,,,476,Premium Neem Soap,75 G,1,15,
,,,,,,,,,477,Glitz,80 G,1,15,
,,,,,,,,,478,Denim,75 G,1,15,
,,,,,,,,,479,Godrej NO.1 Sandal,75 G,2,5,
,,,,,,,,,480,Liril Rainfresh,75 G,1,8,
,,,,,,,,,481,Godrej Fair Glow,75 G,2,11,
,,,,,,,,,482,Doy Pink(Bear),75 G,1,12,
,,,,,,,,,483,Doy Care Cream Milk,100 G,1,12,
,,,,,,,,,484,Emami Gly.With Olive Oil,75 G,1,5,
,,,,,,,,,485,Emami Gly.Saffron,75 G,1,5,
,,,,,,,,,486,Emami Gly.Green Almond,75 G,1,5,
,,,,,,,,,487,Nima Sandal,100 G,1,5,
,,,,,,,,,488,Leaf Lime,75 G,1,7,
,,,,,,,,,489,Leaf With Neem Nector,75 G,1,7,
,,,,,,,,,490,Lux Int. Skin Care,75 G,1,10,
,,,,,,,,,491,Lux Int.Moisturising,125 G,1,5,
,,,,,,,,,492,Doy Patch Eye,75 G,1,12,
,,,,,,,,,493,Doy Care Perfumed,75 G,1,12,
,,,,,,,,,494,Silviniya Gold Kesar &,75 G,1,15,
,,,,,,,,,495,Silviniya Gold Kesar &,125 G,1,15,
,,,,,,,,,496,Silviniya Gold Green,75 G,1,15,
,,,,,,,,,497,Silviniya Gold Green,125 G,1,15,
,,,,,,,,,498,Silviniya Gold Cologne,75 G,1,15,
,,,,,,,,,499,Silviniya Gold Cologne,125 G,1,15,
,,,,,,,,,500,Park Avenue:White Musk,100 G,1,15,
,,,,,,,,,501,Mysore Jasmine,17 G,1,5,
,,,,,,,,,502,Denim,125 G,1,15,
,,,,,,,,,503,Godrej Fair Glow,125 G,2,11,
,,,,,,,,,504,Wipro Lime,50 G,2,8,
,,,,,,,,,505,Biotique Himalya Plum,150 G,1,15,
,,,,,,,,,506,Biotique Almond Soap,150 G,1,15,
,,,,,,,,,507,Godrej NO.1 Neem & Tulsi,75 G,2,5,
,,,,,,,,,508,Godrej NO.1 Coconut,75 G,2,5,
,,,,,,,,,509,Godrej NO.1 Coconut,125 G,2,5,
,,,,,,,,,510,Godrej NO.1 Natural,125 G,2,5,
,,,,,,,,,511,Himani Glycerine Plus,75 G,1,13,
,,,,,,,,,512,Himani Glycerine Plus,75 G,1,13,
,,,,,,,,,513,Himani Glycerine Plus,75 G,1,13,
,,,,,,,,,514,Himani Glycerine Plus,75 G,1,13,
,,,,,,,,,515,Palmolive Nat. Lemon,75 G,1,8,
,,,,,,,,,516,Palmolive Nat.with Milk,75 G,1,5,
,,,,,,,,,517,Fa Aqua Blue,75 G,1,8,
,,,,,,,,,518,Fa Carribean Lemon Green,75 G,1,8,
,,,,,,,,,519,Fa Exotic Garden Orange,75 G,1,8,
,,,,,,,,,520,Margo,50 G,1,7,
,,,,,,,,,521,Aramusk,125 G,1,15,
,,,,,,,,,523,Wipro Active,100 G,2,15,
,,,,,,,,,524,Limelo Beauty Bar,100 G,2,5,
,,,,,,,,,525,Camay Light,100 G,1,5,
,,,,,,,,,526,Johnson's Baby,100 G,1,12,
,,,,,,,,,527,Breeze Bahaar,75 G,4,5,
,,,,,,,,,528,Breeze Bahaar,150 G,4,5,
,,,,,,,,,529,Hamam Herbal,50 G,2,7,
,,,,,,,,,530,Jai Jasmine,100 G,4,5,
,,,,,,,,,531,Lal Gulab,,2,15,
,,,,,,,,,532,Leema,,2,15,
,,,,,,,,,533,Masti,,2,15,
,,,,,,,,,534,Nima Winner,150 G,1,6,
,,,,,,,,,535,Maxam,80 G,1,15,
,,,,,,,,,536,Sony,75 G,2,15,
,,,,,,,,,537,Taja/Taza,,2,15,
,,,,,,,,,538,Tulasi(Ayurveda),75 G,2,6,
,,,,,,,,,539,Brand Not Known,,2,15,
,,,,,,,,,540,Jai Lime,100 G,4,8,
,,,,,,,,,541,L G Apple Kids Cosmo,90 G,2,15,
,,,,,,,,,542,Godrej NO.1 Rose,75 G,2,5,
,,,,,,,,,543,Savlon Orange,125 G,1,6,
,,,,,,,,,544,Lux Int. Skin Care,125 G,1,10,
,,,,,,,,,545,Godrej Natural,125 G,1,5,
,,,,,,,,,546,Dettol Extra with moist.,75 G,1,6,
,,,,,,,,,547,Godrej Natural,75 G,1,5,
,,,,,,,,,548,Palmolive Nat.with Milk,100 G,1,5,
,,,,,,,,,549,Lux Beauty Aqua Blue,100 G,2,5,
,,,,,,,,,550,Nima Winner,75 G,1,6,
,,,,,,,,,551,Chik,75 G,2,6,
,,,,,,,,,552,Afghan Ottokhus,100 G,1,5,
,,,,,,,,,553,Luxus Impression,150 G,3,5,
,,,,,,,,,554,Godrej Nikhar,75 G,4,5,
,,,,,,,,,555,Godrej Nikhar,125 G,4,5,
,,,,,,,,,556,Keya,Other,1,5,
,,,,,,,,,557,Medimix,15 G,1,7,
,,,,,,,,,558,Johnson's Baby Blossom,75 G,1,12,
,,,,,,,,,559,Johnson's Baby Blossom,100 G,1,12,
,,,,,,,,,560,Godrej NO.1 Rose,125 G,2,5,
,,,,,,,,,561,Godrej All Care,75 G,2,6,
,,,,,,,,,562,Godrej All Care,125 G,2,6,
,,,,,,,,,563,Johnson's Baby Tulsi+,75 G,1,12,
,,,,,,,,,564,Godrej NO.1 Sandal,125 G,2,5,
,,,,,,,,,565,Godrej NO.1 Natural,75 G,2,5,
,,,,,,,,,566,Nima Herbal,100 G,1,7,
,,,,,,,,,567,Palmolive Nat.Soothing,100 G,1,5,
,,,,,,,,,568,Palmolive Nat.Relaxing,100 G,1,5,
,,,,,,,,,569,Margo(Gly.& Glycerine),75 G,1,13,
,,,,,,,,,570,Dove,50 G,1,10,
,,,,,,,,,571,Breeze 2 in 1 Hair&Body,100 G,4,9,
,,,,,,,,,572,Lux Hand Cleanser Liq,1 K,1,5,
,,,,,,,,,573,Fair And Lovely,75 G,1,11,
,,,,,,,,,574,Breeze Lime,100 G,4,8,
,,,,,,,,,575,Meera Tulsi,75 G,2,7,
,,,,,,,,,576,Lifebuoy Active Orange,100 G,3,6,
,,,,,,,,,577,Lifebuoy Active Red,100 G,3,6,
,,,,,,,,,578,Dettol,125 G,1,6,
,,,,,,,,,579,Nirma Rosee,100 G,4,5,
,,,,,,,,,580,Eta Sandal & Turmeric,100 G,2,5,
,,,,,,,,,581,Eta Coconut,100 G,2,15,
,,,,,,,,,582,Harmony,85 G,1,5,
,,,,,,,,,583,Eta International Lime,75 G,1,8,
,,,,,,,,,584,Lux Beauty Almond Oil,100 G,2,5,
,,,,,,,,,585,Lux Beauty Honey,100 G,2,5,
,,,,,,,,,586,Lux Beauty Milk Cream,100 G,2,5,
,,,,,,,,,587,Rexona Saffron & Sandal,100 G,2,5,
,,,,,,,,,588,Nirma Herbalina,100 G,4,7,
,,,,,,,,,589,Jo Rose,100 G,2,15,
,,,,,,,,,590,Ayur Tuslieem,75 G,2,15,
,,,,,,,,,591,Duru Glycerine,75 G,2,13,
,,,,,,,,,592,Pond's Face Wash,4 M,1,5,
,,,,,,,,,593,Doy Care Aloe Vera,75 G,1,12,
,,,,,,,,,594,Lux Beauty Almond Oil,150 G,2,5,
,,,,,,,,,595,Lux Beauty Honey,150 G,2,5,
,,,,,,,,,596,Lux Beauty Milk Cream,150 G,2,5,
,,,,,,,,,597,Lexus Gold,125 G,2,5,
,,,,,,,,,598,Lexus Impression,150 G,2,5,
,,,,,,,,,599,Lexus Caress,150 G,2,5,
,,,,,,,,,600,Gladys Lime Plus,75 G,2,8,
,,,,,,,,,601,Gladys Sandal,75 G,2,15,
,,,,,,,,,602,Dettol Junior Glycerine,75 G,1,12,
,,,,,,,,,603,Fa Aqua Blue,125 G,1,8,
,,,,,,,,,604,Fa Carribean Lemon Green,125 G,1,8,
,,,,,,,,,605,Fa Exotic Garden Orange,125 G,1,8,
,,,,,,,,,606,Chandrika Sandal,75 G,2,8,
,,,,,,,,,607,Lexus Beauty,150 G,2,5,
,,,,,,,,,608,Gladys Beauty,75 G,2,5,
,,,,,,,,,609,Gladys International,75 G,2,5,
,,,,,,,,,610,Gladys Floral,75 G,2,5,
,,,,,,,,,611,Gladys Gold,75 G,2,5,
,,,,,,,,,612,Gladys Rose,75 G,2,5,
,,,,,,,,,613,Lifebuoy Inter.Gold,100 G,2,6,
,,,,,,,,,614,Lifebuoy Inter.Plus,100 G,2,6,
,,,,,,,,,615,Lifebuoy Inter.Plus,150 G,2,6,
,,,,,,,,,616,Lifebuoy Inter.Gold,150 G,2,6,
,,,,,,,,,617,Rexona Orange Peel,100 G,2,5,
,,,,,,,,,618,Jo Rose,150 G,2,15,
,,,,,,,,,619,Mysore 3 in 1(Promo Pk),375 G,1,5,
,,,,,,,,,620,Lifebuoy Active Orange,50 G,3,6,
,,,,,,,,,621,Lifebuoy Active Red,50 G,3,6,
,,,,,,,,,622,Hamam Herbal(100x6),600 G,2,7,
,,,,,,,,,623,Borosoft,75 G,1,5,
,,,,,,,,,624,Jo Sandal&Turmeric,100 G,2,5,
,,,,,,,,,625,Borosoft,150 G,1,5,
,,,,,,,,,626,Lux Int.Sun Protection,75 G,1,10,
,,,,,,,,,627,Palmolive Nat.with Rose,75 G,1,5,
,,,,,,,,,628,Lux Int.Deep Cleansing,75 G,1,10,
,,,,,,,,,629,Lux Int.Act.Glycerine,75 G,1,13,
,,,,,,,,,630,Breeze Rose,75 G,4,5,
,,,,,,,,,631,Tulsi Neem,75 G,2,6,
,,,,,,,,,632,Emami Natural Fair,75 G,1,8,
,,,,,,,,,633,Palmolive liq. Family,250 M,1,5,
,,,,,,,,,634,Palmolive liq. Family,500 M,1,5,
,,,,,,,,,635,Palmolive liq. Sea,250 M,1,5,
,,,,,,,,,636,Palmolive liq. Sea,500 M,1,5,
,,,,,,,,,637,Fair & Lovely Face Wash,50 G,1,5,
,,,,,,,,,638,Cinthol Skin Fresh,75 G,2,8,
,,,,,,,,,639,Cinthol Skin Fresh,125 G,2,8,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
